postcode,suburb,state,category
2463,ASHBY,NSW,Delivery Area
2463,ASHBY HEIGHTS,NSW,Delivery Area
2463,ASHBY ISLAND,NSW,Delivery Area
2168,ASHCROFT,NSW,Delivery Area
1800,ASHFIELD,NSW,Post Office Boxes
2131,ASHFIELD,NSW,Delivery Area
2361,ASHFORD,NSW,Delivery Area
2400,ASHLEY,NSW,Delivery Area
2650,ASHMONT,NSW,Delivery Area
2323,ASHTONFIELD,NSW,Delivery Area
2077,ASQUITH,NSW,Delivery Area
2361,ATHOLWOOD,NSW,Delivery Area
2345,ATTUNGA,NSW,Delivery Area
1835,AUBURN,NSW,Post Office Boxes
2144,AUBURN,NSW,Delivery Area
2360,AUBURN VALE,NSW,Delivery Area
2232,AUDLEY,NSW,Delivery Area
2515,AUSTINMER,NSW,Delivery Area
2179,AUSTRAL,NSW,Delivery Area
2440,AUSTRAL EDEN,NSW,Delivery Area
1215,AUSTRALIA SQUARE,NSW,Post Office Boxes
2890,AUSTRALIAN DEFENCE FORCES,NSW,Delivery Area
2107,AVALON BEACH,NSW,Delivery Area
2850,AVISFORD,NSW,Delivery Area
2577,AVOCA,NSW,Delivery Area
2251,AVOCA BEACH,NSW,Delivery Area
2574,AVON,NSW,Delivery Area
2530,AVONDALE,NSW,Delivery Area
2628,AVONSIDE,NSW,Delivery Area
2283,AWABA,NSW,Delivery Area
2575,AYLMERTON,NSW,Delivery Area
2390,BAAN BAA,NSW,Delivery Area
2825,BABINDA,NSW,Delivery Area
2470,BABYL CREEK,NSW,Delivery Area
2372,BACK CREEK,NSW,Delivery Area
2390,BACK CREEK,NSW,Delivery Area
2422,BACK CREEK,NSW,Delivery Area
2484,BACK CREEK,NSW,Delivery Area
2622,BACK CREEK,NSW,Delivery Area
2671,BACK CREEK,NSW,Delivery Area
2535,BACK FOREST,NSW,Delivery Area
2470,BACKMEDE,NSW,Delivery Area
2365,BACKWATER,NSW,Delivery Area
2540,BADAGARANG,NSW,Delivery Area
2555,BADGERYS CREEK,NSW,Delivery Area
2630,BADJA,NSW,Delivery Area
2333,BAERAMI,NSW,Delivery Area
2333,BAERAMI CREEK,NSW,Delivery Area
2446,BAGNOO,NSW,Delivery Area
2446,BAGO,NSW,Delivery Area
2477,BAGOTVILLE,NSW,Delivery Area
2359,BAKERS CREEK,NSW,Delivery Area
2422,BAKERS CREEK,NSW,Delivery Area
2447,BAKERS CREEK,NSW,Delivery Area
2820,BAKERS SWAMP,NSW,Delivery Area
2575,BALACLAVA,NSW,Delivery Area
2358,BALALA,NSW,Delivery Area
2264,BALCOLYN,NSW,Delivery Area
2365,BALD BLAIR,NSW,Delivery Area
2549,BALD HILLS,NSW,Delivery Area
2370,BALD NOB,NSW,Delivery Area
2795,BALD RIDGE,NSW,Delivery Area
2365,BALDERSLEIGH,NSW,Delivery Area
2867,BALDRY,NSW,Delivery Area
2403,BALFOURS PEAK,NSW,Delivery Area
2093,BALGOWLAH,NSW,Delivery Area
2093,BALGOWLAH HEIGHTS,NSW,Delivery Area
2519,BALGOWNIE,NSW,Delivery Area
2324,BALICKERA,NSW,Delivery Area
2822,BALLADORAN,NSW,Delivery Area
2622,BALLALABA,NSW,Delivery Area
2646,BALLDALE,NSW,Delivery Area
2441,BALLENGARRA,NSW,Delivery Area
2830,BALLIMORE,NSW,Delivery Area
2478,BALLINA,NSW,Delivery Area
2478,BALLINA DC,NSW,Delivery Area
2795,BALLYROE,NSW,Delivery Area
2041,BALMAIN,NSW,Delivery Area
2041,BALMAIN EAST,NSW,Delivery Area
2283,BALMORAL,NSW,Delivery Area
2571,BALMORAL VILLAGE,NSW,Delivery Area
2715,BALRANALD,NSW,Delivery Area
2540,BAMARANG,NSW,Delivery Area
2446,BANDA BANDA,NSW,Delivery Area
2420,BANDON GROVE,NSW,Delivery Area
2729,BANGADANG,NSW,Delivery Area
2541,BANGALEE,NSW,Delivery Area
2479,BANGALOW,NSW,Delivery Area
2404,BANGHEET,NSW,Delivery Area
2582,BANGO,NSW,Delivery Area
2234,BANGOR,NSW,Delivery Area
2216,BANKSIA,NSW,Delivery Area
2019,BANKSMEADOW,NSW,Delivery Area
1885,BANKSTOWN,NSW,Post Office Boxes
2200,BANKSTOWN,NSW,Delivery Area
2200,BANKSTOWN AERODROME,NSW,Delivery Area
2200,BANKSTOWN NORTH,NSW,Delivery Area
2200,BANKSTOWN SQUARE,NSW,Delivery Area
2580,BANNABY,NSW,Delivery Area
2580,BANNISTER,NSW,Delivery Area
2347,BANOON,NSW,Delivery Area
2486,BANORA POINT,NSW,Delivery Area
2460,BANYABBA,NSW,Delivery Area
2300,BAR BEACH,NSW,Delivery Area
2083,BAR POINT,NSW,Delivery Area
2850,BARA,NSW,Delivery Area
2396,BARADINE,NSW,Delivery Area
2000,BARANGAROO,NSW,Delivery Area
2460,BARCOONGERE,NSW,Delivery Area
2234,BARDEN RIDGE,NSW,Delivery Area
2565,BARDIA,NSW,Delivery Area
2207,BARDWELL PARK,NSW,Delivery Area
2207,BARDWELL VALLEY,NSW,Delivery Area
2665,BARELLAN,NSW,Delivery Area
2574,BARGO,NSW,Delivery Area
2732,BARHAM,NSW,Delivery Area
2850,BARIGAN,NSW,Delivery Area
2556,BARKER,NSW,Delivery Area
2474,BARKERS VALE,NSW,Delivery Area
2668,BARMEDMAN,NSW,Delivery Area
2852,BARNEYS REEF,NSW,Delivery Area
2278,BARNSLEY,NSW,Delivery Area
3644,BAROOGA,NSW,Delivery Area
2347,BARRABA,NSW,Delivery Area
2528,BARRACK HEIGHTS,NSW,Delivery Area
2528,BARRACK POINT,NSW,Delivery Area
2441,BARRAGANYATTI,NSW,Delivery Area
2546,BARRAGGA BAY,NSW,Delivery Area
2710,BARRATTA,NSW,Delivery Area
2577,BARREN GROUNDS,NSW,Delivery Area
2577,BARRENGARRY,NSW,Delivery Area
2460,BARRETTS CREEK,NSW,Delivery Area
2540,BARRINGELLA,NSW,Delivery Area
2422,BARRINGTON,NSW,Delivery Area
2422,BARRINGTON TOPS,NSW,Delivery Area
2840,BARRINGUN,NSW,Delivery Area
2340,BARRY,NSW,Delivery Area
2799,BARRY,NSW,Delivery Area
2594,BARWANG,NSW,Delivery Area
2396,BARWON,NSW,Delivery Area
2460,BARYULGIL,NSW,Delivery Area
2540,BASIN VIEW,NSW,Delivery Area
2197,BASS HILL,NSW,Delivery Area
2365,BASSENDEAN,NSW,Delivery Area
2439,BATAR CREEK,NSW,Delivery Area
2261,BATEAU BAY,NSW,Delivery Area
2536,BATEHAVEN,NSW,Delivery Area
2536,BATEMANS BAY,NSW,Delivery Area
2795,BATHAMPTON,NSW,Delivery Area
