Postcode,Suburb
3858,DAWSON
3460,DAYLESFORD
3363,DEAN
3235,DEANS MARSH
3336,DEANSIDE
3888,DEDDICK VALLEY
3691,DEDERANG
3385,DEEP LEAD
3103,DEEPDENE
3023,DEER PARK
3022,DEER PARK EAST
3023,DEER PARK NORTH
3356,DELACOMBE
3037,DELAHEY
3723,DELATITE
3871,DELBURN
3888,DELEGATE RIVER
3186,DENDY
3377,DENICULL CREEK
3858,DENISON
3280,DENNINGTON
3461,DENVER
3875,DEPTFORD
3516,DERBY
3352,DEREEL
3312,DERGHOLM
3026,DERRIMUT
3523,DERRINAL
3325,DERRINALLUM
3726,DEVENISH
3714,DEVILS RIVER
3977,DEVON MEADOWS
3971,DEVON NORTH
3808,DEWHURST
3610,DHURRINGILE
3089,DIAMOND CREEK
3309,DIGBY
3427,DIGGERS REST
3561,DIGGORA
3414,DIMBOOLA
3571,DINGEE
3172,DINGLEY VILLAGE
3579,DINGWALL
3898,DINNER PLAIN
3265,DIXIE
3775,DIXONS CREEK
3377,DOBIE
3678,DOCKER
3678,DOCKERS PLAINS
3008,DOCKLANDS
8012,DOCKLANDS
3895,DOCTORS FLAT
3871,DOLLAR
3139,DON VALLEY
3480,DONALD
3108,DONCASTER
3109,DONCASTER EAST
3109,DONCASTER HEIGHTS
3064,DONNYBROOK
3111,DONVALE
3478,DOOBOOBETIC
3401,DOOEN
3646,DOOKIE
3647,DOOKIE COLLEGE
3754,DOREEN
3312,DORODONG
3893,DOUBLE BRIDGES
3409,DOUGLAS
3177,DOVETON
3249,DREEITE
3249,DREEITE SOUTH
3840,DRIFFIELD
3304,DRIK DRIK
3936,DROMANA
3660,DROPMORE
3818,DROUIN
3818,DROUIN EAST
3818,DROUIN SOUTH
3818,DROUIN WEST
3636,DRUMANURE
3304,DRUMBORG
3215,DRUMCONDRA
3570,DRUMMARTIN
3461,DRUMMOND
3446,DRUMMOND NORTH
3401,DRUNG
3461,DRY DIGGINGS
3222,DRYSDALE
3409,DUCHEMBEGARRA
3956,DUMBALK
3956,DUMBALK NORTH
3527,DUMOSA
3371,DUNACH
3271,DUNDONNELL
3175,DUNEARN
3294,DUNKELD
3630,DUNKIRK
3472,DUNLUCE
3377,DUNNEWORTHY
3352,DUNNSTOWN
3472,DUNOLLY
3312,DUNROBIN
3342,DURDIDWARRAH
3352,DURHAM LEAD
3576,DURHAM OX
3851,DUTSON
3851,DUTSON DOWNS
3305,DUTTON WAY
3323,DUVERNEY
3878,EAGLE POINT
3556,EAGLEHAWK
3556,EAGLEHAWK NORTH
3084,EAGLEMONT
3669,EARLSTON
3875,EAST BAIRNSDALE
3550,EAST BENDIGO
3219,EAST GEELONG
3002,EAST MELBOURNE
8002,EAST MELBOURNE
